name,group,Community & Environment Ranking,Poverty Rate,High School Graduation,Median Household Income,Lack of Health Insurance,Unemployment Rate,Violent Crimes,Poor Mental Health,Drug Addiction
Alabama,Alabama,45,25.2,77.4,42278,12.9,6.8,430.8,4.6,8.3
Alaska,Alaska,37,15.6,75.85,67629,17.8,6.8,640.4,3.1,11.65
Arizona,Arizona,38,28.5,73.45,49254,15.4,6.9,416.5,3.6,9.25
Arkansas,Arkansas,49,29.7,83.65,44922,13.9,6.1,460.3,4.4,8.85
California,California,42,22.9,82.45,60487,14.8,7.5,402.1,3.6,9.6
Colorado,Colorado,15,17.2,76.65,60940,12.2,5,308,3.2,10.35
Connecticut,Connecticut,9,12.3,86.45,70161,8.2,6.6,262.5,3.6,9.75
Delaware,Delaware,40,16.6,79.35,57522,8.5,5.7,491.4,3.5,9.6
District of Columbia,District of Columbia,25,28.6,61.65,68277,5.9,7.8,1300.3,3.4,14.15
Florida,Florida,30,24.2,73.65,46140,18.3,6.3,470.4,3.8,9.4
Georgia,Georgia,34,25.6,70.8,49555,17.3,7.2,365.7,4,9.1
Hawaii,Hawaii,17,16.9,74.95,71223,6,4.4,251.6,2.7,11.2
Idaho,Idaho,23,14.6,79.1,53438,14.9,4.8,217,3.2,9
Illinois,Illinois,35,20.5,83.1,54916,11.2,7.1,380.2,3.6,11.9
Indiana,Indiana,36,23.3,83.05,48060,12.9,6,357.4,4.1,9.45
Iowa,Iowa,22,14.3,89.75,57810,7.2,4.4,271.4,3,12.2
Kansas,Kansas,24,16.6,89.55,53444,11.2,4.5,339.9,3,9.4
Kentucky,Kentucky,26,30.3,85.65,42786,11.4,6.5,209.8,4.5,8.6
Louisiana,Louisiana,50,33.7,73.5,42406,15.7,6.4,518.5,3.9,9.95
Maine,Maine,3,20.8,88.2,51710,10.7,5.7,129.3,3.8,10.4
Maryland,Maryland,31,13.4,84.55,76165,9,5.8,473.8,3.3,9.35
Massachusetts,Massachusetts,16,17.6,86.75,63151,3.5,5.8,413.4,3.9,10.65
Michigan,Michigan,29,20.8,75.65,52005,9.7,7.3,449.9,4.1,11.5
Minnesota,Minnesota,7,11.9,82.15,67244,7,4.1,234.4,2.8,11.15
Mississippi,Mississippi,39,29.4,72.3,35521,15.8,7.8,274.6,4.2,8.5
Missouri,Missouri,33,14.2,86.1,56630,12.3,6.1,433.4,3.6,9.35
Montana,Montana,8,16.8,84.45,51102,15.3,4.7,252.9,3.3,11.1
Nebraska,Nebraska,18,18.3,88.5,56870,10.5,3.3,262.1,2.8,11.55
Nevada,Nevada,48,23.9,68.65,49875,17.9,7.8,603,3.4,9.7
New Hampshire,New Hampshire,2,11.1,85.55,73397,9.9,4.3,215.3,3.5,10.15
New Jersey,New Jersey,13,16.1,89.65,65243,12.1,6.6,288.5,3.4,9.6
New Mexico,New Mexico,46,25.7,70.3,46686,16.6,6.5,613,3.9,8.8
New York,New York,19,19.1,76.8,54310,9.7,6.3,393.7,3.7,9.35
North Carolina,North Carolina,27,24.4,79.95,46784,14.4,6.1,342.2,3.6,8.6
North Dakota,North Dakota,11,12,88.1,60730,9.1,2.8,270.1,2.8,13.4
Ohio,Ohio,28,22.1,83.65,49644,9.7,5.7,286.2,4.1,11.05
Oklahoma,Oklahoma,47,25,81.8,47199,16.5,4.5,441.2,4.1,8.45
Oregon,Oregon,4,18.8,70.45,58875,12.2,6.9,254,4.1,10.35
Pennsylvania,Pennsylvania,32,19.4,87.6,55173,9.1,5.8,335.4,3.9,10.3
Rhode Island,Rhode Island,12,17.7,79.9,58633,9.5,7.7,257.2,3.6,11
South Carolina,South Carolina,43,22.5,75.15,44929,14.7,6.4,508.5,4.2,9.15
South Dakota,South Dakota,20,17.7,80.85,53053,10.5,3.4,316.5,2.7,10.05
Tennessee,Tennessee,44,26.2,84.8,43716,12.9,6.7,590.6,4.8,7.7
Texas,Texas,41,23.8,84.15,53875,20.6,5.1,408.3,3,9.65
Utah,Utah,14,12,82,63383,13.3,3.8,224,3.5,7.45
Vermont,Vermont,1,11.5,87.95,60708,6.1,4.1,121.1,3.4,10.65
Virginia,Virginia,6,11.3,86.55,66155,11.6,5.2,196.2,3.3,9.25
Washington,Washington,10,16.8,74.85,59068,11.6,6.2,289.1,3.7,10.4
West Virginia,West Virginia,25,25.7,81.4,39552,11.3,6.5,300.3,4.6,7.1
Wisconsin,Wisconsin,21,16.2,88.1,58080,8.2,5.5,277.9,3.6,12.85
Wyoming,Wyoming,5,10.6,78.35,55690,12.7,4.3,205.1,3.3,10.25
